iter	Passed	Remaining
0	25	6276
1	50	6273
2	76	6338
3	101	6253
4	127	6235
5	154	6293
6	182	6319
7	210	6372
8	242	6491
9	269	6479
10	294	6409
11	319	6330
12	343	6265
13	369	6220
14	394	6174
15	420	6151
16	446	6114
17	472	6085
18	497	6053
19	523	6022
20	550	5998
21	576	5975
22	603	5956
23	630	5938
24	656	5909
25	682	5879
26	710	5864
27	736	5842
28	763	5816
29	788	5784
30	814	5751
31	842	5736
32	868	5711
33	894	5683
34	921	5659
35	947	5634
36	975	5616
37	1002	5593
38	1028	5564
39	1054	5534
40	1080	5505
41	1106	5478
42	1133	5456
43	1159	5429
44	1185	5399
45	1211	5374
46	1237	5347
47	1265	5326
48	1292	5301
49	1318	5275
50	1344	5245
51	1370	5216
52	1397	5196
53	1424	5171
54	1450	5141
55	1477	5116
56	1503	5089
57	1529	5061
58	1555	5035
59	1582	5011
60	1608	4983
61	1634	4954
62	1660	4929
63	1686	4901
64	1713	4875
65	1739	4849
66	1765	4823
67	1792	4796
68	1817	4767
69	1843	4741
70	1869	4713
71	1896	4687
72	1923	4663
73	1948	4635
74	1976	4610
75	2001	4582
76	2027	4556
77	2056	4534
78	2082	4506
79	2108	4479
80	2134	4453
81	2161	4427
82	2186	4399
83	2214	4375
84	2241	4350
85	2267	4323
86	2292	4296
87	2318	4268
88	2345	4243
89	2371	4216
90	2399	4192
91	2426	4166
92	2452	4140
93	2479	4114
94	2504	4086
95	2531	4061
96	2558	4035
97	2584	4007
98	2610	3981
99	2637	3955
100	2663	3929
101	2690	3903
102	2716	3876
103	2742	3849
104	2767	3821
105	2792	3794
106	2819	3768
107	2845	3741
108	2871	3714
109	2897	3688
110	2923	3661
111	2949	3634
112	2976	3609
113	3004	3583
114	3028	3555
115	3055	3529
116	3082	3503
117	3108	3476
118	3135	3451
119	3161	3424
120	3187	3398
121	3212	3370
122	3238	3343
123	3263	3316
124	3289	3289
125	3315	3263
126	3343	3237
127	3369	3211
128	3396	3185
129	3421	3158
130	3448	3132
131	3473	3105
132	3500	3079
133	3526	3053
134	3553	3027
135	3578	3000
136	3604	2973
137	3629	2945
138	3655	2919
139	3680	2892
140	3708	2866
141	3733	2839
142	3759	2813
143	3785	2786
144	3810	2759
145	3837	2733
146	3862	2706
147	3888	2679
148	3913	2652
149	3939	2626
150	3967	2601
151	3992	2574
152	4018	2547
153	4043	2520
154	4069	2494
155	4095	2467
156	4121	2441
157	4147	2414
158	4173	2388
159	4199	2362
160	4224	2335
161	4250	2308
162	4276	2282
163	4301	2255
164	4327	2229
165	4352	2202
166	4379	2176
167	4405	2150
168	4432	2124
169	4457	2097
170	4484	2071
171	4510	2045
172	4536	2018
173	4561	1992
174	4588	1966
175	4614	1940
176	4640	1914
177	4666	1887
178	4691	1860
179	4717	1834
180	4742	1808
181	4768	1781
182	4794	1755
183	4819	1728
184	4845	1702
185	4872	1676
186	4899	1650
187	4926	1624
188	4952	1598
189	4980	1572
190	5006	1546
191	5032	1520
192	5057	1493
193	5083	1467
194	5109	1441
195	5135	1414
196	5160	1388
197	5187	1362
198	5213	1336
199	5239	1309
200	5265	1283
201	5290	1257
202	5316	1230
203	5342	1204
204	5368	1178
205	5394	1152
206	5421	1126
207	5446	1099
208	5472	1073
209	5497	1047
210	5524	1021
211	5550	994
212	5575	968
213	5600	942
214	5626	915
215	5652	889
216	5678	863
217	5704	837
218	5730	811
219	5755	784
220	5782	758
221	5807	732
222	5832	706
223	5856	679
224	5882	653
225	5907	627
226	5933	601
227	5958	574
228	5989	549
229	6014	523
230	6040	496
231	6067	470
232	6092	444
233	6119	418
234	6145	392
235	6171	366
236	6196	339
237	6222	313
238	6247	287
239	6273	261
240	6300	235
241	6326	209
242	6351	182
243	6378	156
244	6405	130
245	6430	104
246	6456	78
247	6480	52
248	6506	26
249	6532	0
