iter	Passed	Remaining
0	28	7154
1	53	6692
2	80	6637
3	105	6474
4	133	6547
5	158	6457
6	183	6380
7	209	6325
8	234	6272
9	261	6272
10	285	6212
11	311	6172
12	336	6129
13	361	6091
14	386	6051
15	411	6015
16	436	5986
17	462	5955
18	485	5908
19	511	5879
20	536	5850
21	561	5822
22	586	5793
23	612	5767
24	637	5736
25	663	5712
26	688	5685
27	714	5668
28	740	5643
29	765	5615
30	790	5586
31	816	5560
32	840	5530
33	866	5501
34	892	5479
35	917	5452
36	942	5423
37	966	5393
38	991	5366
39	1017	5341
40	1042	5315
41	1068	5289
42	1093	5265
43	1119	5240
44	1144	5213
45	1169	5186
46	1195	5161
47	1220	5135
48	1247	5117
49	1272	5091
50	1298	5066
51	1323	5040
52	1349	5014
53	1374	4989
54	1400	4964
55	1425	4938
56	1450	4912
57	1476	4886
58	1501	4861
59	1526	4835
60	1552	4808
61	1578	4786
62	1603	4760
63	1629	4734
64	1654	4707
65	1680	4684
66	1705	4657
67	1730	4631
68	1755	4604
69	1780	4577
70	1805	4551
71	1830	4524
72	1855	4498
73	1880	4472
74	1905	4446
75	1930	4420
76	1956	4395
77	1981	4369
78	2007	4345
79	2032	4319
80	2057	4293
81	2082	4267
82	2108	4242
83	2133	4217
84	2159	4191
85	2184	4164
86	2209	4139
87	2234	4113
88	2259	4087
89	2284	4061
90	2309	4036
91	2336	4012
92	2361	3986
93	2386	3960
94	2411	3934
95	2436	3909
96	2462	3883
97	2487	3857
98	2512	3831
99	2537	3805
100	2562	3780
101	2587	3754
102	2614	3731
103	2640	3706
104	2665	3680
105	2692	3658
106	2718	3632
107	2744	3608
108	2771	3584
109	2797	3559
110	2822	3534
111	2847	3508
112	2872	3483
113	2897	3457
114	2923	3432
115	2948	3406
116	2973	3380
117	2999	3355
118	3024	3329
119	3049	3303
120	3075	3278
121	3100	3252
122	3125	3227
123	3150	3201
124	3175	3175
125	3200	3149
126	3225	3123
127	3250	3098
128	3275	3072
129	3300	3047
130	3326	3021
131	3350	2995
132	3376	2970
133	3402	2945
134	3426	2919
135	3452	2893
136	3477	2868
137	3502	2842
138	3527	2817
139	3552	2791
140	3577	2765
141	3602	2739
142	3627	2714
143	3652	2688
144	3677	2663
145	3703	2637
146	3728	2612
147	3753	2586
148	3778	2561
149	3804	2536
150	3829	2510
151	3854	2485
152	3879	2459
153	3905	2434
154	3930	2408
155	3955	2383
156	3980	2358
157	4006	2332
158	4031	2307
159	4056	2281
160	4081	2256
161	4106	2230
162	4131	2205
163	4156	2179
164	4181	2153
165	4206	2128
166	4232	2103
167	4257	2077
168	4282	2052
169	4307	2027
170	4332	2001
171	4357	1976
172	4382	1950
173	4408	1925
174	4433	1899
175	4458	1874
176	4484	1849
177	4509	1824
178	4535	1798
179	4560	1773
180	4584	1747
181	4609	1722
182	4634	1696
183	4660	1671
184	4685	1646
185	4710	1620
186	4735	1595
187	4760	1569
188	4785	1544
189	4810	1519
190	4835	1493
191	4860	1468
192	4885	1442
193	4911	1417
194	4935	1392
195	4964	1367
196	4989	1342
197	5013	1316
198	5038	1291
199	5063	1265
200	5088	1240
201	5113	1215
202	5138	1189
203	5162	1164
204	5191	1139
205	5216	1114
206	5241	1088
207	5266	1063
208	5292	1038
209	5317	1012
210	5343	987
211	5368	962
212	5393	936
213	5419	911
214	5445	886
215	5470	861
216	5495	835
217	5520	810
218	5545	785
219	5571	759
220	5596	734
221	5622	709
222	5648	683
223	5672	658
224	5697	633
225	5722	607
226	5747	582
227	5772	557
228	5797	531
229	5821	506
230	5847	480
231	5872	455
232	5897	430
233	5922	404
234	5947	379
235	5972	354
236	5997	328
237	6022	303
238	6047	278
239	6071	252
240	6097	227
241	6122	202
242	6147	177
243	6173	151
244	6198	126
245	6222	101
246	6248	75
247	6273	50
248	6298	25
249	6323	0
